run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum
14,6.0,21.0,472.278,460.753,3.0,-40.683,0,0,0,0.0
14,6.0,22.0,394.567,403.125,6.0,-40.134,0,0,0,0.0
14,6.0,23.0,193.257,110.367,5.0,-35.805,0,0,0,0.0
14,6.0,24.0,246.695,151.886,7.0,-39.212,0,0,0,0.0
14,6.0,25.0,207.815,106.882,5.0,-34.69,0,0,0,0.0
14,6.0,26.0,74.887,293.778,4.0,-34.242,0,0,0,0.0
14,6.0,27.0,353.062,475.673,2.0,-40.492,0,0,0,0.0
14,6.0,28.0,88.673,226.969,5.0,-35.649,0,0,0,0.0
14,6.0,29.0,193.041,296.695,3.0,-39.012,0,0,0,0.0
14,7.0,0.0,166.186,72.744,4.0,-37.951,0,0,0,0.0
14,7.0,1.0,409.842,372.605,5.0,-36.629,0,0,0,0.0
14,7.0,2.0,71.877,185.55,2.0,-35.305,0,0,0,0.0
14,7.0,3.0,455.953,285.121,3.0,-39.123,0,0,0,0.0
14,7.0,4.0,234.369,321.856,3.0,-39.926,0,0,0,0.0
14,7.0,5.0,73.277,289.67,4.0,-34.088,0,0,0,0.0
14,7.0,6.0,280.799,239.722,5.0,-39.414,0,0,0,0.0
14,7.0,7.0,291.145,23.216,3.0,-41.844,0,0,0,0.0
14,7.0,8.0,169.772,230.457,3.0,-40.264,0,0,0,0.0
14,7.0,9.0,309.133,216.959,3.0,-35.58,0,0,0,0.0
14,7.0,10.0,393.225,315.861,4.0,-35.484,0,0,0,0.0
14,7.0,11.0,128.47,322.035,3.0,-38.863,0,0,0,0.0
14,7.0,12.0,418.757,465.338,4.0,-39.767,0,0,0,0.0
14,7.0,13.0,163.387,23.6,2.0,-38.825,0,0,0,0.0
14,7.0,14.0,350.128,71.654,3.0,-41.889,0,0,0,0.0
14,7.0,15.0,55.158,235.686,4.0,-36.977,0,0,0,0.0
14,7.0,16.0,280.12,114.786,7.0,-38.08,0,0,0,0.0
14,7.0,17.0,292.482,172.815,6.0,-38.376,0,0,0,0.0
14,7.0,18.0,418.383,313.507,4.0,-34.465,0,0,0,0.0
14,7.0,19.0,185.304,406.878,1.0,-43.758,0,0,0,0.0
14,7.0,20.0,257.202,102.753,8.0,-38.27,0,0,0,0.0
14,7.0,21.0,467.694,455.957,2.0,-39.411,0,0,0,0.0
14,7.0,22.0,397.448,385.888,5.0,-37.365,0,0,0,0.0
14,7.0,23.0,202.945,106.434,6.0,-35.88,0,0,0,0.0
14,7.0,24.0,240.021,169.379,8.0,-39.522,0,0,0,0.0
14,7.0,25.0,212.474,120.322,6.0,-35.465,0,0,0,0.0
14,7.0,26.0,72.923,307.16,4.0,-35.217,0,0,0,0.0
14,7.0,27.0,347.97,474.788,1.0,-39.614,0,0,0,0.0
14,7.0,28.0,105.611,222.196,5.0,-38.356,0,0,0,0.0
14,7.0,29.0,205.682,290.829,4.0,-39.135,0,0,0,0.0
14,8.0,0.0,181.724,84.562,5.0,-37.877,0,0,0,0.0
14,8.0,1.0,398.64,364.936,4.0,-29.639,0,0,0,0.0
14,8.0,2.0,80.113,189.652,2.0,-36.488,0,0,0,0.0
14,8.0,3.0,452.394,269.587,2.0,-38.92,0,0,0,0.0
14,8.0,4.0,228.081,316.357,4.0,-39.026,0,0,0,0.0
14,8.0,5.0,57.397,292.335,4.0,-36.817,0,0,0,0.0
14,8.0,6.0,264.586,244.095,6.0,-38.402,0,0,0,0.0
14,8.0,7.0,282.529,22.46,2.0,-42.522,0,0,0,0.0
14,8.0,8.0,181.442,231.045,6.0,-40.595,0,0,0,0.0
14,8.0,9.0,299.13,213.837,4.0,-36.097,0,0,0,0.0
14,8.0,10.0,377.005,316.473,4.0,-37.522,0,0,0,0.0
14,8.0,11.0,127.253,308.643,5.0,-41.156,0,0,0,0.0
14,8.0,12.0,414.857,460.69,4.0,-40.346,0,0,0,0.0
14,8.0,13.0,177.686,27.198,2.0,-39.183,0,0,0,0.0
14,8.0,14.0,347.683,79.098,3.0,-42.778,0,0,0,0.0
14,8.0,15.0,49.07,243.6,4.0,-38.625,0,0,0,0.0
14,8.0,16.0,271.618,125.548,8.0,-38.268,0,0,0,0.0
14,8.0,17.0,285.922,187.715,6.0,-37.172,0,0,0,0.0
14,8.0,18.0,427.805,315.002,4.0,-36.21,0,0,0,0.0
14,8.0,19.0,192.514,392.365,1.0,-41.716,0,0,0,0.0
14,8.0,20.0,254.759,110.503,8.0,-37.618,0,0,0,0.0
14,8.0,21.0,463.11,451.161,1.0,-34.755,0,0,0,0.0
14,8.0,22.0,400.329,368.652,4.0,-29.88,0,0,0,0.0
14,8.0,23.0,212.633,102.501,6.0,-35.722,0,0,0,0.0
14,8.0,24.0,233.347,186.872,9.0,-39.53,0,0,0,0.0
14,8.0,25.0,217.132,133.762,6.0,-35.776,0,0,0,0.0
14,8.0,26.0,70.958,320.543,3.0,-35.586,0,0,0,0.0
14,8.0,27.0,342.878,473.903,1.0,-39.932,0,0,0,0.0
14,8.0,28.0,122.549,217.424,5.0,-40.017,0,0,0,0.0
14,8.0,29.0,218.323,284.964,5.0,-38.556,0,0,0,0.0
14,9.0,0.0,197.263,96.379,5.0,-35.777,0,0,0,0.0
14,9.0,1.0,387.439,357.267,3.0,-31.177,0,0,0,0.0
14,9.0,2.0,88.348,193.755,2.0,-38.038,0,0,0,0.0
14,9.0,3.0,448.834,254.053,1.0,-38.086,0,0,0,0.0
14,9.0,4.0,221.793,310.859,5.0,-38.669,0,0,0,0.0
14,9.0,5.0,46.603,294.146,3.0,-35.282,0,0,0,0.0
14,9.0,6.0,248.374,248.468,6.0,-35.596,0,0,0,0.0
14,9.0,7.0,273.913,21.703,4.0,-42.965,0,0,0,0.0
14,9.0,8.0,193.112,231.633,9.0,-39.763,0,0,0,0.0
14,9.0,9.0,289.127,210.714,8.0,-38.197,0,0,0,0.0
14,9.0,10.0,360.785,317.085,3.0,-37.036,0,0,0,0.0
14,9.0,11.0,126.036,295.251,6.0,-41.761,0,0,0,0.0
14,9.0,12.0,410.957,456.042,2.0,-37.428,0,0,0,0.0
14,9.0,13.0,191.985,30.795,3.0,-40.05,0,0,0,0.0
14,9.0,14.0,345.238,86.542,3.0,-43.585,0,0,0,0.0
14,9.0,15.0,42.981,251.515,4.0,-39.263,0,0,0,0.0
14,9.0,16.0,263.116,136.311,8.0,-37.198,0,0,0,0.0
14,9.0,17.0,279.362,202.614,8.0,-37.131,0,0,0,0.0
14,9.0,18.0,437.228,316.497,4.0,-37.871,0,0,0,0.0
14,9.0,19.0,199.724,377.851,1.0,-39.452,0,0,0,0.0
14,9.0,20.0,252.316,118.252,9.0,-37.869,0,0,0,0.0
14,9.0,21.0,458.526,446.365,1.0,-34.584,0,0,0,0.0
14,9.0,22.0,403.211,351.416,3.0,-30.509,0,0,0,0.0
14,9.0,23.0,222.321,98.568,6.0,-35.122,0,0,0,0.0
14,9.0,24.0,226.673,204.365,9.0,-38.212,0,0,0,0.0
14,9.0,25.0,221.791,147.202,8.0,-37.517,0,0,0,0.0
14,9.0,26.0,70.175,325.876,3.0,-36.997,0,0,0,0.0
